Date,process-name,Name,time,ip,city,loc
04:37:07,● list.html - team-eureka - Visual Studio Code,"code, Code",14708306,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:38:06,https://www.google.com/search?sxsrf,"brave-browser, Brave-browser",14767508,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:39:06,app.py - team-eureka - Visual Studio Code,"code, Code",14814282,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:40:06,"python - In Flask, how can I redirect to a profile being clicked? - Stack Overflow - Brave","brave-browser, Brave-browser",14887523,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:41:06,● list.html - team-eureka - Visual Studio Code,"code, Code",14947759,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:42:06,Sign In - Brave,"brave-browser, Brave-browser",15007789,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:43:06,list.html - team-eureka - Visual Studio Code,"code, Code",14995804,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:44:06,Document - Brave,"brave-browser, Brave-browser",15127712,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:45:06,● list.html - team-eureka - Visual Studio Code,"code, Code",15187524,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:46:06,Document - Brave,"brave-browser, Brave-browser",15246736,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:47:06,404 Not Found - Brave,"brave-browser, Brave-browser",15307816,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:48:06,● list.html - team-eureka - Visual Studio Code,"code, Code",15368191,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:49:06,list.html - team-eureka - Visual Studio Code,"code, Code",15422516,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:50:06,404 Not Found - Brave,"brave-browser, Brave-browser",15485869,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:51:06,● list.html - team-eureka - Visual Studio Code,"code, Code",15547783,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:52:06,Document - Brave,"brave-browser, Brave-browser",15607424,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:53:06,"python - In Flask, how can I redirect to a profile being clicked? - Stack Overflow - Brave","brave-browser, Brave-browser",15666800,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:54:06,● list.html - team-eureka - Visual Studio Code,"code, Code",15723483,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:55:06,python - How do I create a link to another html page? - Stack Overflow - Brave,"brave-browser, Brave-browser",15782346,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:56:06,app.py - team-eureka - Visual Studio Code,"code, Code",15847234,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:57:07,list.html - team-eureka - Visual Studio Code,"code, Code",15907115,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:58:06,list.html - team-eureka - Visual Studio Code,"code, Code",15962390,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:59:06,localhost:5000/admin/signup - Brave,"brave-browser, Brave-browser",16025841,219.90.100.25,Mumbai,"19.0728,72.8826",4478
05:00:06,New Tab - Brave,"brave-browser, Brave-browser",16088091,219.90.100.25,Mumbai,"19.0728,72.8826",4478
05:01:06,Document - Brave,"brave-browser, Brave-browser",16146726,219.90.100.25,Mumbai,"19.0728,72.8826",4478
05:02:06,ValueError: urls must start with a leading slash // Werkzeug Debugger - Brave,"brave-browser, Brave-browser",16207074,219.90.100.25,Mumbai,"19.0728,72.8826",4478
05:03:06,Document - Brave,"brave-browser, Brave-browser",16266513,219.90.100.25,Mumbai,"19.0728,72.8826",4478
05:04:06,list.html - team-eureka - Visual Studio Code,"code, Code",16301383,219.90.100.25,Mumbai,"19.0728,72.8826",3852
